lambdaAM15	PhotonenAM15
280.0	6.6775E-05
280.5	1.7402E-03
281.0	8.0592E-03
281.5	2.2225E-01
282.0	1.6982E+00
282.5	6.4704E+00
283.0	2.6323E+01
283.5	5.0533E+01
284.0	1.0404E+03
284.5	3.5647E+03
285.0	1.1514E+04
285.5	6.1328E+04
286.0	1.9728E+05
286.5	1.2106E+06
287.0	3.9593E+06
287.5	1.5801E+07
288.0	9.0501E+07
288.5	2.4959E+08
289.0	8.1969E+08
289.5	3.0280E+09
290.0	8.7958E+09
290.5	2.0184E+10
291.0	5.1418E+10
291.5	1.6036E+11
292.0	3.9493E+11
292.5	6.2938E+11
293.0	1.2771E+12
293.5	3.3596E+12
294.0	6.1866E+12
294.5	9.7849E+12
295.0	1.8276E+13
295.5	4.1450E+13
296.0	7.1479E+13
296.5	1.0664E+14
297.0	1.4493E+14
297.5	2.7906E+14
298.0	4.3546E+14
298.5	5.3853E+14
299.0	7.4173E+14
299.5	1.2994E+15
300.0	1.5433E+15
300.5	1.8859E+15
301.0	2.9284E+15
301.5	4.0905E+15
302.0	4.4467E+15
302.5	6.5326E+15
303.0	1.0836E+16
303.5	1.3738E+16
304.0	1.4512E+16
304.5	1.8348E+16
305.0	2.5312E+16
305.5	2.8828E+16
306.0	2.8656E+16
306.5	3.2613E+16
307.0	4.3098E+16
307.5	5.5238E+16
308.0	5.8746E+16
308.5	6.4429E+16
309.0	6.3138E+16
309.5	6.7565E+16
310.0	7.9602E+16
310.5	1.0258E+17
311.0	1.3000E+17
311.5	1.3203E+17
312.0	1.4686E+17
312.5	1.5593E+17
313.0	1.6935E+17
313.5	1.7000E+17
314.0	1.8945E+17
314.5	2.0705E+17
315.0	2.1635E+17
315.5	1.8827E+17
316.0	1.9670E+17
316.5	2.3989E+17
317.0	2.7418E+17
317.5	2.9201E+17
318.0	2.8204E+17
318.5	2.9849E+17
319.0	3.2917E+17
319.5	3.1550E+17
320.0	3.3112E+17
320.5	3.9623E+17
321.0	4.0493E+17
321.5	3.8642E+17
322.0	3.6040E+17
322.5	3.5293E+17
323.0	3.4561E+17
323.5	4.0542E+17
324.0	4.4975E+17
324.5	4.6327E+17
325.0	4.5699E+17
325.5	5.3222E+17
326.0	6.2645E+17
326.5	6.7023E+17
327.0	6.5616E+17
327.5	6.3502E+17
328.0	5.8062E+17
328.5	6.1542E+17
329.0	7.0046E+17
329.5	7.7864E+17
330.0	7.8417E+17
330.5	7.1306E+17
331.0	6.7180E+17
331.5	6.9861E+17
332.0	7.3007E+17
332.5	7.3614E+17
333.0	7.2088E+17
333.5	6.8464E+17
334.0	6.9868E+17
